"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.skipCoalescedText:()Z","1","0","0","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","5","2","","throwInternal","","XMLStreamException","","protected","2"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleAttrValue:()Z","26","0","9","2","2","588","80","3717.2937197937686","100.0","371729.3719793769","1.2390979065979228","6","0","3","364","224","char[] int[]","throwUnexpectedChar reportInvalidInitial handleEntityInAttributeValue decodeUtf8_2 handleAttrValuePending decodeUtf8_3 markLF reportUnexpandedEntityInAttr decodeUtf8_4 handleInvalidXmlChar","continueValue valueBufferFull","XMLStreamException","","protected","76"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleAttrValuePending:()Z","16","0","15","4","0","473","68","2879.3699239114108","75.0","215952.74429335582","0.9597899746371369","0","0","0","286","187","char[] PName","decodeGeneralEntity parseEntityName handleAttrValuePendingUTF8 handleHexEntityInAttribute parseNewEntityName reportUnexpandedEntityInAttr handlePartialCR handleDecEntityInAttribute","continueValue valueBufferFull","XMLStreamException","","private final","67"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleAttrValuePendingUTF8:()I","4","0","9","0","0","380","45","2086.9041766052765","104.0","217038.03436694876","0.6956347255350922","0","0","0","233","147","","throwInternal decodeUtf8_2 decodeUtf8_3 decodeUtf8_4","","XMLStreamException","","private final","39"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleDecEntityInAttribute:(Z)I","8","1","5","0","0","192","44","1048.2108707783611","33.0","34590.95873568592","0.34940362359278704","0","0","1","112","80","","throwUnexpectedChar decodeCharForError reportEntityOverflow verifyXmlChar","","XMLStreamException","","private final","25"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleHexEntityInAttribute:(Z)I","12","1","5","0","0","236","50","1331.950060786835","36.0","47950.20218832606","0.44398335359561164","0","0","1","139","97","","throwUnexpectedChar decodeCharForError reportEntityOverflow verifyXmlChar","","XMLStreamException","","private final","30"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleEntityInAttributeValue:()I","2","0","5","1","0","158","42","851.9861527990441","33.0","28115.543042368456","0.28399538426634807","0","0","0","96","62","PName","decodeGeneralEntity handleHexEntityInAttribute parseNewEntityName handleDecEntityInAttribute","","XMLStreamException","","protected","27"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleNsDecl:()Z","27","0","11","3","3","645","84","4123.0447376923","105.0","432919.69745769154","1.3743482458974334","9","0","3","396","249","String char[] int[]","bindNs throwUnexpectedChar reportInvalidInitial handleEntityInAttributeValue decodeUtf8_2 decodeUtf8_3 handleNsValuePending markLF reportUnexpandedEntityInAttr decodeUtf8_4 handleInvalidXmlChar","canonicalizeURI growArrayBy","XMLStreamException","","protected","81"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleNsValuePending:()Z","16","0","15","4","0","487","68","2964.5944036889155","80.0","237167.55229511324","0.9881981345629718","0","0","0","296","191","char[] PName","decodeGeneralEntity parseEntityName handleAttrValuePendingUTF8 handleHexEntityInAttribute parseNewEntityName reportUnexpandedEntityInAttr handlePartialCR handleDecEntityInAttribute","growArrayBy","XMLStreamException","","private final","67"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.parseNewName:(B)Lcom/fasterxml/aalto/in/PName;","2","1","2","0","0","40","23","180.94247824228052","6.0","1085.6548694536832","0.0603141594140935","0","0","0","22","18","","throwUnexpectedChar parsePName","","XMLStreamException","","protected","7"
