"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"org/asteriskjava/config/ConfigFileImpl.getCategory:(Ljava/lang/String;)Lorg/asteriskjava/config/Category;","0","1","1","1","0","30","17","122.6238852375102","5.0","613.119426187551","0.040874628412503396","0","1","0","18","12","String","","get","","","protected","3"
"org/asteriskjava/config/ConfigFileReader.<init>:()V","1","0","0","0","0","37","19","157.17331799741265","3.0","471.51995399223796","0.05239110599913755","0","3","0","21","16","","","<init>","","","public","6"
"org/asteriskjava/config/ConfigFileReader.readFile:(Ljava/lang/String;)Lorg/asteriskjava/config/ConfigFile;","3","1","3","3","0","119","36","615.2210751716351","12.0","7382.652902059621","0.20507369172387838","0","5","0","69","50","String BufferedReader ConfigFile","readFile","addSuppressed <init> close","","","public","9"
"org/asteriskjava/config/ConfigFileReader.reset:()V","1","0","0","0","0","32","20","138.3016990363956","5.0","691.508495181978","0.0461005663454652","0","1","0","18","14","","","clear <init>","","","","6"
"org/asteriskjava/config/ConfigFileReader.getCategories:()Ljava/util/Collection;","1","0","0","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","","","values","","","","1"
"org/asteriskjava/config/ConfigFileReader.getWarnings:()Ljava/util/Collection;","1","0","0","0","0","10","10","33.219280948873624","3.0","99.65784284662087","0.01107309364962454","0","1","0","6","4","","","<init>","","","public","1"
"org/asteriskjava/config/ConfigFileReader.readFile:(Ljava/lang/String;Ljava/io/BufferedReader;)V","2","2","5","4","0","60","29","291.47885970765435","7.0","2040.3520179535803","0.09715961990255145","0","0","1","34","26","String CharBuffer BufferedReader","reset processLine","allocate clear readLine flip put","IOException ConfigParseException","","","11"
"org/asteriskjava/config/ConfigFileReader.processLine:(Ljava/lang/String;ILjava/nio/CharBuffer;)Lorg/asteriskjava/config/ConfigElement;","21","3","12","9","2","400","75","2491.5274761983524","45.0","112118.73642892585","0.8305091587327841","8","2","4","239","161","String StringBuilder CharBuffer ConfigParseException ConfigElement","inComment processTextLine","add getClass compact hasRemaining length setPreComment <init> delete remaining contains trim get reset setComment toString position flip mark append","ConfigParseException","","","55"
"org/asteriskjava/config/ConfigFileReader.inComment:()Z","2","0","0","0","0","9","9","28.529325012980813","3.0","85.58797503894243","0.009509775004326938","0","0","0","7","2","","","","","","","1"
"org/asteriskjava/config/ConfigFileReader.processTextLine:(Ljava/lang/String;ILjava/lang/String;)Lorg/asteriskjava/config/ConfigElement;","3","3","6","5","0","96","38","503.8010412905842","20.0","10076.020825811684","0.16793368043019472","0","2","0","56","40","String ConfigElement","parseVariable parseCategoryHeader parseDirective","valueOf addElement <init> charAt","ConfigParseException","ConfigParseException","protected","10"
"org/asteriskjava/config/ConfigFileReader.parseCategoryHeader:(Ljava/lang/String;ILjava/lang/String;)Lorg/asteriskjava/config/Category;","6","3","12","9","0","295","74","1831.7887428605407","32.0","58617.2397715373","0.6105962476201802","0","11","1","178","117","String Category String[]","inheritCategory appendCategory","split valueOf markAsTemplate equals get length <init> indexOf substring charAt","ConfigParseException","ConfigParseException","protected","28"
