"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"net/wouterdanes/docker/maven/PushImageMojo.doExecute:()V","2","0","3","3","0","106","42","571.5856468145487","8.0","4572.685174516389","0.19052854893818288","0","4","1","60","46","String DockerException PushableImage","getDockerProvider getLog ensureThatAllPushableImagesHaveAName handleDockerException getImagesToPush","next iterator getImageId get pushImage format hasNext orElse getNameAndTag info","MojoExecutionException MojoFailureException","","public","14"
"net/wouterdanes/docker/maven/PushImageMojo.ensureThatAllPushableImagesHaveAName:()V","1","0","1","1","0","31","21","136.16184010614157","5.0","680.8092005307078","0.04538728003538052","0","1","0","17","14","Iterator","getImagesToPush","filter iterator parallelStream hasNext forEachRemaining <init>","MojoFailureException","MojoFailureException","private","6"
"net/wouterdanes/docker/maven/PushImageMojo.lambda$ensureThatAllPushableImagesHaveAName$1:(Lnet/wouterdanes/docker/provider/model/PushableImage;)V","1","1","2","2","0","24","20","103.72627427729671","5.0","518.6313713864836","0.0345754247590989","0","1","0","14","10","String PushableImage","getLog","getImageId format error","","","private","3"
"net/wouterdanes/docker/maven/PushImageMojo.lambda$ensureThatAllPushableImagesHaveAName$0:(Lnet/wouterdanes/docker/provider/model/PushableImage;)Z","2","1","1","1","0","11","10","36.541209043760986","3.0","109.62362713128296","0.012180403014586996","0","0","0","8","3","PushableImage","","isPresent getNameAndTag","","","private static","1"
"net/wouterdanes/docker/maven/StartContainerMojo$1.<init>:(Lnet/wouterdanes/docker/maven/StartContainerMojo;)V","1","1","1","1","0","11","8","33.0","2.0","66.0","0.011","0","0","0","6","5","StartContainerMojo","","<init>","","","","1"
"net/wouterdanes/docker/maven/StartContainerMojo$1.run:()V","1","0","0","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","","","cleanUpStartedContainers","","","public","2"
"net/wouterdanes/docker/maven/StartContainerMojo.<init>:(Ljava/util/List;)V","1","1","1","1","0","11","8","33.0","2.0","66.0","0.011","0","0","0","6","5","List","","<init>","","","public","3"
"net/wouterdanes/docker/maven/StartContainerMojo.doExecute:()V","6","0","10","10","0","238","68","1448.816156217581","18.0","26078.69081191646","0.4829387187391937","0","6","2","129","109","String ContainerStartConfiguration ContainerInspectionResult ContainerLink List DockerException DockerProvider","getDockerProvider getLog handleDockerException replaceLinkedContainerIdsWithStartedNames waitForContainerToFinishStartup exposePortsToProject hasInvalidLinks getContainerStartConfiguration hasDuplicateIds registerStartedContainer replaceImageWithBuiltImageIdIfInternalId addShutdownHookToCleanUpContainers waitForContainersToFinishStartup","next getWaitForStartup getLinks debug getProperties format hasNext getId <init> getExposedPorts getContainerId iterator toString startContainer append info","MojoExecutionException MojoFailureException","","public","29"
"net/wouterdanes/docker/maven/StartContainerMojo.addShutdownHookToCleanUpContainers:()V","1","0","0","0","0","24","18","100.07820003461549","4.0","400.31280013846197","0.0333594000115385","0","2","0","13","11","","getLog","addShutdownHook <init> getRuntime info","","","private","3"
"net/wouterdanes/docker/maven/StartContainerMojo.getContainerStartConfiguration:(Ljava/lang/String;)Lnet/wouterdanes/docker/provider/model/ContainerStartConfiguration;","1","1","1","1","0","19","14","72.33974351909447","3.0","217.0192305572834","0.024113247839698156","0","1","0","10","9","String","","filter stream findFirst orElseThrow","","","private","4"
